Algorithm,Data Size (MB),CPU (%),Peak Memory (MB)
blake2s,32,50.0,124.125
blake2s,32,50.0,124.125
blake2s,64,51.3,124.125
blake2s,64,50.0,124.125
blake2s,64,53.7,124.125
blake2s,64,50.0,124.125
blake2s,64,50.0,124.125
blake2s,128,52.5,124.125
blake2s,128,52.5,124.125
blake2s,128,51.3,124.125
blake2s,128,51.9,124.125
blake2s,128,50.6,124.125
blake2s,200,51.2,124.125
blake2s,200,50.8,124.125
blake2s,200,50.4,124.125
blake2s,200,52.4,124.125
blake2s,200,51.6,124.125
blake2s,512,52.1,124.125
blake2s,512,52.4,124.125
blake2s,512,50.5,124.125
blake2s,512,51.4,124.125
blake2s,512,50.3,124.125
blake2b,1,0.0,124.125
blake2b,1,0.0,124.125
blake2b,1,0.0,124.125
blake2b,1,0.0,124.125
blake2b,1,100.0,124.125
blake2b,2,0.0,124.125
blake2b,2,100.0,124.125
blake2b,2,0.0,124.125
blake2b,2,0.0,124.125
blake2b,2,100.0,124.125
blake2b,4,66.7,124.125
blake2b,4,50.0,124.125
blake2b,4,0.0,124.125
blake2b,4,50.0,124.125
blake2b,4,50.0,124.125
blake2b,8,66.7,124.125
blake2b,8,33.3,124.125
blake2b,8,50.0,124.125
blake2b,8,66.7,124.125
blake2b,8,50.0,124.125
blake2b,16,50.0,124.125
blake2b,16,42.9,124.125
blake2b,16,57.1,124.125
blake2b,16,42.9,124.125
blake2b,16,57.1,124.125
blake2b,32,46.2,124.125
blake2b,32,53.8,124.125
blake2b,32,50.0,124.125
blake2b,32,46.2,124.125
blake2b,32,53.8,124.125
blake2b,64,50.0,124.125
blake2b,64,51.9,124.125
blake2b,64,50.0,124.125
blake2b,64,50.0,124.125
blake2b,64,50.0,124.125
blake2b,128,50.0,124.125
blake2b,128,50.9,124.125
blake2b,128,51.8,124.125
blake2b,128,50.0,124.125
blake2b,128,53.4,124.125
blake2b,200,50.6,124.125
blake2b,200,50.0,124.125
blake2b,200,52.3,124.125
blake2b,200,49.4,124.125
blake2b,200,51.2,124.125
blake2b,512,50.5,124.125
blake2b,512,51.1,124.125
blake2b,512,51.6,124.125
blake2b,512,50.7,124.125
blake2b,512,51.2,124.125
blake3,1,0.0,124.125
blake3,1,0.0,124.125
blake3,1,0.0,124.125
blake3,1,0.0,124.125
blake3,1,0.0,124.125
blake3,2,100.0,124.125
blake3,2,0.0,124.125
blake3,2,0.0,124.125
blake3,2,0.0,124.125
blake3,2,100.0,124.125
blake3,4,0.0,124.125
blake3,4,0.0,124.125
blake3,4,100.0,124.125
blake3,4,0.0,124.125
blake3,4,0.0,124.125
blake3,8,100.0,124.125
blake3,8,50.0,124.125
blake3,8,50.0,124.125
blake3,8,0.0,124.125
blake3,8,100.0,124.125
blake3,16,50.0,124.125
blake3,16,33.3,124.125
blake3,16,66.7,124.125
blake3,16,50.0,124.125
blake3,16,50.0,124.125
blake3,32,50.0,124.125
blake3,32,57.1,124.125
blake3,32,42.9,124.125
blake3,32,50.0,124.125
blake3,32,50.0,124.125
blake3,64,50.0,124.125
blake3,64,50.0,124.125
blake3,64,58.3,124.125
blake3,64,50.0,124.125
blake3,64,46.2,124.125
blake3,128,53.8,124.125
blake3,128,53.8,124.125
blake3,128,52.2,124.125
blake3,128,50.0,124.125
blake3,128,52.0,124.125
blake3,200,50.0,124.125
blake3,200,48.6,124.125
blake3,200,51.3,124.125
blake3,200,54.8,124.125
blake3,200,48.6,124.125
blake3,512,50.5,124.125
blake3,512,52.5,124.125
blake3,512,52.0,124.125
blake3,512,52.0,124.125
blake3,512,51.5,124.125
