Algorithm,Data Size (MB),Timing (ms)
blake3,200,220.83306312561035
blake2b,32,80.40666580200195
blake2b,32,85.70647239685059
blake2b,32,88.34075927734375
blake2b,32,83.49466323852539
blake2b,32,84.54704284667969
blake2s,64,241.3327693939209
blake2s,64,248.4457492828369
blake2s,64,240.86999893188477
blake2s,64,259.28473472595215
blake2s,64,238.44313621520996
blake2b,64,168.04742813110352
blake2b,64,156.65698051452637
blake2b,64,155.94792366027832
blake2b,64,155.012845993042
blake2b,64,162.91546821594238
sha256,1,1.0001659393310547
sha256,1,1.0001659393310547
sha256,1,1.3213157653808594
sha256,1,0.9999275207519531
sha256,1,2.0003318786621094
sha256,2,2.0041465759277344
sha256,2,2.508401870727539
sha256,2,2.000093460083008
sha256,2,1.9998550415039062
sha256,2,2.9997825622558594
sha256,4,5.000114440917969
sha256,4,4.508256912231445
sha256,4,5.000114440917969
sha256,4,5.0754547119140625
sha256,4,3.999471664428711
sha256,8,9.508371353149414
sha256,8,11.088371276855469
sha256,8,9.450674057006836
sha256,8,9.507417678833008
sha256,8,10.193109512329102
sha256,16,18.88108253479004
sha256,16,19.66118812561035
sha256,16,20.019054412841797
sha256,16,21.017789840698242
sha256,16,19.457340240478516
sha256,32,39.47758674621582
sha256,32,41.9619083404541
sha256,32,41.080474853515625
sha256,32,39.548397064208984
sha256,32,43.241024017333984
sha256,64,83.07528495788574
sha256,64,72.12209701538086
sha256,64,75.35958290100098
sha256,64,77.83699035644531
sha256,64,80.46531677246094
blake2s,128,496.80519104003906
blake2s,128,511.5847587585449
blake2s,128,481.7981719970703
blake2s,128,481.2326431274414
blake2s,128,474.03860092163086
blake2b,128,328.3812999725342
blake2b,128,332.4863910675049
blake2b,128,342.2818183898926
blake2b,128,319.4117546081543
blake2b,128,365.7810688018799
blake3,512,563.0521774291992
blake3,512,520.8396911621094
blake3,512,548.814058303833
blake3,512,608.4449291229248
blake3,512,685.3957176208496
sha256,128,215.3923511505127
sha256,128,167.7563190460205
sha256,128,154.249906539917
sha256,128,156.9654941558838
sha256,128,150.82383155822754
blake2b,200,539.2212867736816
blake2b,200,517.1303749084473
blake2b,200,584.308385848999
blake2b,200,514.26100730896
blake2b,200,467.0703411102295
sha256,200,265.2122974395752
sha256,200,259.04321670532227
sha256,200,238.44671249389648
sha256,200,225.8298397064209
sha256,200,221.64225578308105
blake2s,200,763.6604309082031
blake2s,200,773.9207744598389
blake2s,200,763.6799812316895
blake2s,200,684.3709945678711
blake2s,200,614.7944927215576
sha256,512,581.1750888824463
sha256,512,475.8577346801758
sha256,512,478.3182144165039
sha256,512,467.1521186828613
sha256,512,464.921236038208
blake2b,512,1353.093147277832
blake2b,512,960.9978199005127
blake2b,512,910.2587699890137
blake2b,512,848.8585948944092
blake2b,512,849.621057510376
blake2s,512,1900.5718231201172
blake2s,512,1376.225233078003
blake2s,512,1258.0392360687256
blake2s,512,1217.6108360290527
blake2s,512,1127.8488636016846
