Algorithm,Data Size (MB),Timing (ms)
sha3_256,128,240.6940460205078
sha3_256,128,234.3611717224121
sha3_256,128,221.68612480163574
sha3_256,128,221.0080623626709
sha3_256,200,345.9279537200928
sha3_256,200,356.8310737609863
sha3_256,200,355.3049564361572
sha3_256,200,351.240873336792
sha3_256,200,345.92604637145996
sha3_256,512,887.1140480041504
sha3_256,512,885.1637840270996
sha3_256,512,883.8419914245605
sha3_256,512,893.0728435516357
sha3_256,512,886.2500190734863
blake2s,1,2.3212432861328125
blake2s,1,2.2728443145751953
blake2s,1,2.039194107055664
blake2s,1,1.8188953399658203
blake2s,1,1.7549991607666016
blake2s,2,3.582000732421875
blake2s,2,3.576040267944336
blake2s,2,3.8709640502929688
blake2s,2,3.6721229553222656
blake2s,2,3.706216812133789
blake2s,4,7.20524787902832
blake2s,4,7.520914077758789
blake2s,4,7.907867431640625
blake2s,4,8.407115936279297
blake2s,4,7.960081100463867
blake2s,8,16.080856323242188
blake2s,8,14.464139938354492
blake2s,8,15.34414291381836
blake2s,8,15.071868896484375
blake2s,8,14.659881591796875
blake2s,16,30.565977096557617
blake2s,16,30.707120895385742
blake2s,16,30.544042587280273
blake2s,16,30.805110931396484
blake2s,16,30.21073341369629
blake2s,32,60.21404266357422
blake2s,32,60.77742576599121
blake2s,32,60.94169616699219
blake2s,32,62.82615661621094
blake2s,32,60.8830451965332
blake2s,64,124.13811683654785
blake2s,64,121.85025215148926
blake2s,64,123.22187423706055
blake2s,64,120.65482139587402
blake2s,64,125.86402893066406
blake2s,128,275.73680877685547
blake2s,128,246.40297889709473
blake2s,128,237.81418800354004
blake2s,128,228.55877876281738
blake2s,128,229.58087921142578
blake2s,200,355.53908348083496
blake2s,200,364.1951084136963
blake2s,200,358.01172256469727
blake2s,200,356.19187355041504
blake2s,200,355.09181022644043
blake2s,512,926.584005355835
blake2s,512,1047.577142715454
blake2s,512,1064.4888877868652
blake2s,512,1005.5139064788818
blake2s,512,996.4718818664551
blake2b,1,1.2431144714355469
blake2b,1,1.2559890747070312
blake2b,1,1.2860298156738281
blake2b,1,1.216888427734375
blake2b,1,1.2469291687011719
blake2b,2,2.4759769439697266
blake2b,2,3.9060115814208984
blake2b,2,3.201007843017578
blake2b,2,2.8238296508789062
blake2b,2,3.0159950256347656
blake2b,4,4.848003387451172
blake2b,4,4.948854446411133
blake2b,4,4.736900329589844
blake2b,4,4.712104797363281
blake2b,4,4.698753356933594
blake2b,8,9.402990341186523
blake2b,8,9.559154510498047
blake2b,8,9.330987930297852
blake2b,8,9.035825729370117
blake2b,8,9.330987930297852
blake2b,16,19.193172454833984
blake2b,16,18.4938907623291
blake2b,16,19.674062728881836
blake2b,16,19.62876319885254
blake2b,16,19.35100555419922
blake2b,32,40.12489318847656
blake2b,32,39.72983360290527
blake2b,32,38.57898712158203
blake2b,32,38.61498832702637
blake2b,32,40.88306427001953
blake2b,64,79.9100399017334
blake2b,64,80.718994140625
blake2b,64,78.5219669342041
blake2b,64,77.83102989196777
blake2b,64,77.18515396118164
blake2b,128,154.50596809387207
blake2b,128,153.56087684631348
blake2b,128,154.39200401306152
blake2b,128,153.2740592956543
blake2b,128,155.35497665405273
blake2b,200,241.99318885803223
blake2b,200,240.61083793640137
blake2b,200,246.94108963012695
blake2b,200,239.72010612487793
blake2b,200,240.9982681274414
blake2b,512,615.7450675964355
blake2b,512,616.0361766815186
blake2b,512,617.185115814209
blake2b,512,614.008903503418
blake2b,512,587.5160694122314
blake3,1,0.6210803985595703
blake3,1,0.5962848663330078
blake3,1,0.5948543548583984
blake3,1,0.5979537963867188
blake3,1,0.6060600280761719
blake3,2,1.2331008911132812
blake3,2,1.180887222290039
blake3,2,1.1909008026123047
blake3,2,1.1870861053466797
blake3,2,1.2111663818359375
blake3,4,2.4459362030029297
blake3,4,2.835988998413086
blake3,4,2.593994140625
blake3,4,2.553224563598633
blake3,4,2.538919448852539
blake3,8,5.0601959228515625
blake3,8,5.029916763305664
blake3,8,5.069971084594727
blake3,8,5.033016204833984
blake3,8,4.884958267211914
blake3,16,10.738849639892578
blake3,16,10.035991668701172
blake3,16,10.05101203918457
blake3,16,9.916067123413086
blake3,16,10.194063186645508
blake3,32,22.19700813293457
blake3,32,21.200180053710938
blake3,32,19.931793212890625
blake3,32,20.331144332885742
blake3,32,20.04408836364746
blake3,64,40.02094268798828
blake3,64,39.552927017211914
blake3,64,39.61300849914551
blake3,64,41.74304008483887
blake3,64,42.72007942199707
blake3,128,79.10561561584473
blake3,128,78.9649486541748
blake3,128,80.23810386657715
blake3,128,79.29611206054688
blake3,128,78.8569450378418
blake3,200,128.94511222839355
blake3,200,124.0377426147461
blake3,200,123.47698211669922
blake3,200,123.3367919921875
blake3,200,128.70311737060547
blake3,512,317.26980209350586
blake3,512,316.30635261535645
blake3,512,316.93291664123535
blake3,512,316.70188903808594
blake3,512,316.1959648132324
